id,title,pl_source_id,pl_source_display_name,publication_year
W3010138084,Vehicle routing problems over time: a survey,S4210191715,4OR,2020
W3104083695,Mathematical programming formulations for the alternating current optimal power flow problem,S4210191715,4OR,2020
W2963890120,Finite horizon risk-sensitive continuous-time Markov decision processes with unbounded transition and cost rates,S4210191715,4OR,2019
W3105978604,A comparison of penalty shootout designs in soccer,S4210191715,4OR,2020
W3198484963,Frank–Wolfe and friends: a journey into projection-free first-order optimization methods,S4210191715,4OR,2021
W2943861180,Bilevel programming approaches to production planning for multiple products with short life cycles,S4210191715,4OR,2019
W2934320204,Metaheuristics for data mining,S4210191715,4OR,2019
W3159886842,The trouble with the second quantifier,S4210191715,4OR,2021
W3166163489,Optimality conditions and Mond–Weir duality for a class of differentiable semi-infinite multiobjective programming problems with vanishing constraints,S4210191715,4OR,2021
W2895250661,Structural properties of feasible bookings in the European entry–exit gas market system,S4210191715,4OR,2019
W3100525358,A binary search algorithm for the general coupled task scheduling problem,S4210191715,4OR,2020
W3041020310,Dynamic programming algorithms and Lagrangian lower bounds for a discrete lot streaming problem in a two-machine flow shop,S4210191715,4OR,2020
W3158961234,A detailed note on the finite-buffer queueing system with correlated batch-arrivals and batch-size-/phase-dependent bulk-service,S4210191715,4OR,2021
W3007553927,Tackling the maximum happy vertices problem in large networks,S4210191715,4OR,2020
W3092976014,Inductive linearization for binary quadratic programs with linear constraints,S4210191715,4OR,2020
W3104719376,Improving ADMMs for solving doubly nonnegative programs through dual factorization,S4210191715,4OR,2020
W2889607699,Preference elicitation for a ranking method based on multiple reference profiles,S4210191715,4OR,2021
W3081066258,A note on ELECTRE TRI-nB with few limiting profiles,S4210191715,4OR,2021
W3126498749,Partition-based distributionally robust optimization via optimal transport with order cone constraints,S4210191715,4OR,2021
W3164495234,Pareto-scheduling with family jobs or ND-agent on a parallel-batch machine to minimize the makespan and maximum cost,S4210191715,4OR,2021
W3196817534,"The grid based approach, a fast local evaluation technique for line planning",S4210191715,4OR,2021
W2948382129,Optimising load planning and container routing in intermodal rail transport,S4210191715,4OR,2019
W2981260297,The Chinese deliveryman problem,S4210191715,4OR,2019
W2990937066,Embedding the production policy in location-allocation decisions,S4210191715,4OR,2019
W3116714130,Scanning integer points with lex-inequalities: a finite cutting plane algorithm for integer programming with linear objective,S4210191715,4OR,2020
W3116872452,A note on the integrality gap of cutting and skiving stock instances,S4210191715,4OR,2020
W3135915416,4OR comes of age,S4210191715,4OR,2021
W3136559792,"On the stochastic vehicle routing problem with time windows, correlated travel times, and time dependency",S4210191715,4OR,2021
W2920588551,Consolidation and coordination of routes in urban distribution,S4210191715,4OR,2019
W2938704704,Batch replenishment planning under capacity reservation contract,S4210191715,4OR,2019
W3016692363,Endogenous queue number determination in G/M/s systems,S4210191715,4OR,2020
W3028289881,Exact distributional analysis of online algorithms with lookahead,S4210191715,4OR,2020
W3037840427,Correction to: Designing flexible loop-based material handling AGV paths with cell-adjacency priorities: an efficient cutting-plane algorithm,S4210191715,4OR,2020
W3045107923,On efficient testing of capacity constraints in pickup-and-delivery problems with trailers,S4210191715,4OR,2020
W3181473488,Teaching OR: automatic evaluation for linear programming modelling,S4210191715,4OR,2021
W4205372601,A note on the complexity of the bilevel bottleneck assignment problem,S4210191715,4OR,2021
W2034391927,Simulation optimization: a review of algorithms and applications,S4210191715,4OR,2014
W2069736946,A new exact algorithm to solve the multi-trip vehicle routing problem with time windows and limited duration,S4210191715,4OR,2013
W2152324313,Robust combinatorial optimization with variable budgeted uncertainty,S4210191715,4OR,2012
W2096122157,A new model and a hyper-heuristic approach for two-dimensional shelf space allocation,S4210191715,4OR,2012
W1976996892,A reliable affine relaxation method for global optimization,S4210191715,4OR,2014
W2012872784,Internet shopping with price sensitive discounts,S4210191715,4OR,2013
W2075265540,Speeding up Martins’ algorithm for multiple objective shortest path problems,S4210191715,4OR,2013
W2067948003,A short note on the robust combinatorial optimization problems with cardinality constrained uncertainty,S4210191715,4OR,2014
W2094271602,Relaxations of mixed integer sets from lattice-free polyhedra,S4210191715,4OR,2012
W1964110975,Soft due window assignment and scheduling of unit-time jobs on parallel machines,S4210191715,4OR,2012
W2134602790,Competitive location in cognitive radio networks,S4210191715,4OR,2014
W2014587269,A fast metaheuristic for the travelling salesperson problem with hotel selection,S4210191715,4OR,2014
W2026164008,MPOC: an agglomerative algorithm for multicriteria partially ordered clustering,S4210191715,4OR,2013
W2034624140,Heuristic algorithms for the capacitated location-routing problem and the multi-depot vehicle routing problem,S4210191715,4OR,2013
W2090593478,Merit functions: a bridge between optimization and equilibria,S4210191715,4OR,2014
W2070138302,On scheduling with the non-idling constraint,S4210191715,4OR,2014
W1999724300,Effect of global FCFS and relative load distribution in two-class queues with dedicated servers,S4210191715,4OR,2013
W2066052879,Exact algorithms for different classes of vehicle routing problems,S4210191715,4OR,2012
W2001987340,No end of the world in 2012 for 4OR,S4210191715,4OR,2012
W2044250760,Optimization of empty container movements in intermodal transport,S4210191715,4OR,2012
W1977299073,To kit or not to kit: optimizing part feeding in the automotive assembly industry,S4210191715,4OR,2012
W2034895863,Mathematical model applied to single-track line scheduling problem in Brazilian railways,S4210191715,4OR,2014
W2046044094,Unified matheuristic for solving rich vehicle routing problems,S4210191715,4OR,2014
W2065084410,Dynamic vehicle routing: Solution methods and computational tools,S4210191715,4OR,2013
W2071760804,Linear separation and approximation by minimizing the sum of concave functions of distances,S4210191715,4OR,2013
W1973929517,Bicriteria path problem minimizing the cost and minimizing the number of labels,S4210191715,4OR,2013
W1979633801,Generalized Bin Packing Problems,S4210191715,4OR,2013
W2038795392,Integrating high-level requirements in optimization problems: theory and applications,S4210191715,4OR,2013
W2097112362,The stable set problem: some structural properties and relaxations,S4210191715,4OR,2012
W2112787288,Applications of reformulations in mathematical programming,S4210191715,4OR,2012
W1973164516,On the design of networks with unicyclic connected components,S4210191715,4OR,2012
W2015703870,Shop and batch scheduling with constraints,S4210191715,4OR,2012
W2008536086,A decade of application of the Choquet and Sugeno integrals in multi-criteria decision aid,S4210191715,4OR,2007
W1976043550,Combinatorial optimization and Green Logistics,S4210191715,4OR,2007
W2100564073,Dynamic pricing of electricity in retail markets,S4210191715,4OR,2007
W2113913667,Dealing with inconsistent judgments in multiple criteria sorting models,S4210191715,4OR,2006
W2102679686,Empirical validation of a queueing approach to uninterrupted traffic flows,S4210191715,4OR,2006
W1968280824,Tabu Search versus GRASP for the maximum diversity problem,S4210191715,4OR,2007
W2061695835,"Exact and heuristic methodologies for scheduling in hospitals: problems, formulations and algorithms",S4210191715,4OR,2006
W1972780469,R UBIS: a bipolar-valued outranking method for the choice problem,S4210191715,4OR,2007
W2150077073,A branch-and-cut method for the obnoxious p-median problem,S4210191715,4OR,2006
W2172262914,Ejection chain and filter-and-fan methods in combinatorial optimization,S4210191715,4OR,2006
W2082324963,Validating state-dependent queueing models for uninterrupted traffic flows using simulation,S4210191715,4OR,2006
W2125513175,The transportation problem with exclusionary side constraints,S4210191715,4OR,2008
W1964148745,Models and algorithms for combinatorial optimization problems arising in railway applications,S4210191715,4OR,2008
W2037817070,The Vertex Coloring Problem and its generalizations,S4210191715,4OR,2008
W2011571669,Maximizing the minimum completion time on parallel machines,S4210191715,4OR,2007
W2014535770,On the use of graphs in discrete tomography,S4210191715,4OR,2008
W1997332430,Operator non-availability periods,S4210191715,4OR,2008
W2047042707,A case of plagiarism: Dănuţ Marcu,S4210191715,4OR,2006
W1999240167,Game Theory applied to gene expression analysis,S4210191715,4OR,2008
